,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
47,23.1,-1.62,"17,515",.533,35,.215,12.8,-1.68,-1.7,76.5,.255,Orlando Magic,106.8,105.1,.500,36,96.0,.232,"719,275",.175,46,-0.06,Amway Center
49,23.9,-2.48,"17,222",.546,33,.202,14.2,-2.32,-2.4,74.9,.260,Sacramento Kings,108.4,106.0,.510,34,100.0,.295,"707,526",.214,48,0.16,Sleep Train Arena
40,25.3,-2.24,"17,119",.524,42,.251,12.3,-2.14,-2.4,75.1,.222,Memphis Grizzlies *,107.8,105.4,.477,35,93.3,.295,"701,894",.231,47,0.11,FedEx Forum
50,23.7,-2.73,"19,812",.527,32,.204,12.6,-2.74,-3.0,75.8,.256,New York Knicks,107.6,104.6,.483,33,93.4,.255,"812,292",.205,49,0.00,Madison Square Garden (IV)
49,25.8,-3.10,"14,095",.531,33,.216,13.2,-2.81,-3.3,77.3,.277,Denver Nuggets,108.9,105.6,.489,33,95.7,.282,"577,898",.216,49,0.29,Pepsi Center
53,24.3,-3.54,"14,175",.549,29,.200,13.9,-3.38,-3.6,74.7,.202,Minnesota Timberwolves,110.1,106.5,.498,31,95.2,.332,"581,178",.263,51,0.15,Target Center
52,21.2,-3.79,"16,794",.537,30,.225,12.3,-3.56,-3.9,78.8,.277,New Orleans Pelicans,109.5,105.6,.498,31,96.8,.259,"688,549",.201,51,0.24,Smoothie King Center
49,24.9,-4.18,"15,166",.537,33,.221,14.2,-3.98,-4.4,73.1,.189,Milwaukee Bucks,108.7,104.3,.499,29,94.2,.276,"621,808",.207,53,0.20,BMO Harris Bradley Center
59,25.4,-6.66,"17,107",.526,23,.237,15.2,-6.32,-6.8,77.1,.302,Phoenix Suns,109.0,102.2,.487,24,98.5,.271,"701,405",.204,58,0.34,Talking Stick Resort Arena
61,24.1,-7.35,"15,125",.527,21,.176,13.6,-7.12,-7.7,75.7,.218,Brooklyn Nets,110.9,103.2,.492,22,95.2,.246,"620,142",.186,60,0.24,Barclays Center
65,23.1,-9.56,"18,997",.509,17,.202,12.5,-8.92,-10.0,74.7,.290,Los Angeles Lakers,111.6,101.6,.460,17,95.6,.292,"778,877",.228,65,0.64,STAPLES Center
72,20.6,-10.23,"14,991",.519,10,.240,14.8,-9.92,-10.4,74.0,.327,Philadelphia 76ers,109.2,98.8,.487,16,97.9,.269,"614,650",.186,66,0.31,Wells Fargo Center
